Movie_id,Unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Strings
1,0,0,0,d,e,f,0,0,0,0,0,0,0,0,0,0,0,0,0,def
2,0,b,c,0,0,0,0,0,0,0,0,0,0,0,0,0,q,0,0,bcq
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,q,0,0,q
4,0,b,0,0,0,f,0,0,i,0,0,0,0,0,0,0,0,0,0,bfi
5,0,0,0,0,0,0,g,0,i,0,0,0,0,0,0,0,q,0,0,giq
6,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,0,0,i
7,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,p,0,0,0,ip
8,0,0,0,0,e,f,0,0,i,0,0,0,0,0,0,0,0,0,0,efi
9,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,0,0,i
10,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,r,0,ir
11,0,0,0,0,0,0,g,0,0,0,0,0,0,0,0,0,q,0,0,gq
12,0,0,0,0,0,0,g,0,0,0,0,0,0,0,0,0,q,0,0,gq
13,0,0,0,0,0,f,0,0,0,0,0,l,0,0,0,0,0,0,0,fl
14,0,0,0,0,0,0,0,0,i,0,0,0,0,0,o,0,0,0,0,io
15,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,0,0,i
16,0,0,0,0,0,f,0,0,0,0,0,0,0,0,o,0,0,0,0,fo
17,0,b,0,0,0,f,g,0,0,0,0,0,0,0,0,0,q,0,0,bfgq
18,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,0,0,i
19,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,0,0,i
20,0,0,0,0,0,0,0,0,i,0,0,0,0,0,o,0,0,0,0,io
21,0,b,c,0,0,f,0,0,0,0,0,0,m,0,0,0,q,0,0,bcfmq
22,0,b,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,r,0,bir
23,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,q,0,0,iq
24,0,b,c,0,0,0,g,0,0,0,0,0,0,0,0,0,0,0,0,bcg
25,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,f
26,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,f
27,0,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b
28,0,b,0,0,0,0,0,0,i,0,0,0,0,0,0,0,q,0,0,biq
29,0,b,c,0,0,f,g,0,0,0,0,0,0,0,0,0,0,0,0,bcfg
30,0,0,0,0,0,0,0,0,i,0,0,l,0,0,0,0,0,0,0,il
31,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,q,r,0,iqr
32,0,0,0,0,0,0,0,h,0,0,0,0,0,0,0,0,0,0,0,h
33,0,b,0,0,0,0,0,0,0,0,0,0,0,0,o,0,q,0,0,boq
34,0,0,0,0,0,f,0,0,i,0,0,0,0,0,0,0,0,0,0,fi
35,0,0,c,0,e,0,0,0,i,0,0,0,0,0,0,0,0,0,0,cei
36,0,0,0,0,0,0,0,0,i,0,0,0,0,0,o,0,0,0,0,io
37,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,0,0,0,i
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,q,0,0,pq
39,0,b,0,0,0,0,g,0,0,0,0,0,0,0,0,p,0,0,0,bgp
40,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,f
41,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,f
42,0,0,0,0,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,f
43,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,q,0,0,iq
44,0,0,0,0,0,0,0,0,i,0,0,0,0,0,0,0,q,0,0,iq
45,0,0,0,0,0,f,0,0,i,0,0,0,0,0,0,0,0,0,0,fi
